year,course_type,course_name
2015,Part-Time,Nitec in Technology - Facility Technology (Air-Conditioning & Refrigeration)
2015,Part-Time,Nitec in Technology - Facility Technology (Mechanical & Electrical Services)
2015,Part-Time,Nitec in Technology - Facility Technology (Vertical Transportation)
2015,Part-Time,Nitec in Technology - Infocomm Technology (Networking & Systems Administration)
2015,Part-Time,Nitec in Technology - Mechanical Technology
2015,Part-Time,Nitec in Technology - Mechatronics
2015,Part-Time,Nitec in Technology - Security Technology
2015,Part-Time,Nitec in Technology - Social Media & Web Development
2015,Traineeship,Higher Nitec in Elder Care
2015,Traineeship,Higher Nitec in Marine & Offshore Technology
2015,Traineeship,Higher Nitec in Service Management
2015,Traineeship,ITE Skills Certificate in Health Care (Home Care)
2015,Traineeship,ITE Skills Certificate in Health Care (Outpatient)
2015,Traineeship,Nitec in Aircraft Maintenance (Avionics)
2015,Traineeship,Nitec in Aircraft Maintenance (Mechanical)
2015,Traineeship,Nitec in Asian Culinary Arts
2015,Traineeship,Nitec in Automotive Technology (Heavy Vehicles)
2015,Traineeship,Nitec in Automotive Technology (Light Vehicles)
2015,Traineeship,Nitec in Beauty & Wellness
2015,Traineeship,Nitec in Business Services
2015,Traineeship,Nitec in Dental Assisting
2015,Traineeship,Nitec in Dental Technology
2015,Traineeship,Nitec in Electronics (Microelectronics)
2015,Traineeship,Nitec in Fabrication Technology (Hull & Structures)
2015,Traineeship,Nitec in Fabrication Technology (Marine Pipe)
2015,Traineeship,Nitec in Facility Technology (Mechanical & Electrical Services)
2015,Traineeship,Nitec in Food & Beverage Operations
2015,Traineeship,Nitec in Hair Services (Hair Fashion & Design)
2015,Traineeship,Nitec in Info-Communications Technology (Networking & Systems Administration)
2015,Traineeship,Nitec in Marine Electrical Technology
2015,Traineeship,Nitec in Marine Technology
2015,Traineeship,Nitec in Mechatronics
2015,Traineeship,Nitec in Pastry & Baking
2015,Traineeship,Nitec in Port Equipment Technology
2015,Traineeship,Nitec in Retail Services
2015,Traineeship,Nitec in Welding
2015,Traineeship,Nitec in Western Culinary Arts
2016,Full-Time,Higher Nitec in Accounting
2016,Full-Time,Higher Nitec in Banking Services
2016,Full-Time,Higher Nitec in Beauty & Spa Management
2016,Full-Time,Higher Nitec in Biotechnology
2016,Full-Time,Higher Nitec in Broadcast & Media Technology
2016,Full-Time,Higher Nitec in Business Information Systems
2016,Full-Time,Higher Nitec in Chemical Technology
2016,Full-Time,Higher Nitec in Civil & Structural Engineering Design
2016,Full-Time,Higher Nitec in Cyber & Network Security
2016,Full-Time,Higher Nitec in Early Childhood Education
2016,Full-Time,Higher Nitec in e-Business Programming
2016,Full-Time,Higher Nitec in Electrical Engineering
